play_id,qtr,game_seconds_remaining,posteam_score,defteam_score,score_differential,half_seconds_remaining,posteam,defteam,side_of_field,yardline_100,down,ydstogo,play_type,passer_player_id,receiver_player_id,rusher_player_id,yards_gained,air_yards,yards_after_catch,epa,wpa,complete_pass,sack,penalty,fumble
1137,2,2524,3,0,3,724,SEA,NE,NE,19,3,12,run,,,00-0038134,-2,,,-0.676306625822211,-0.0545120239257813,0,0,0,0
1303,2,2356,6,0,6,556,SEA,NE,SEA,71,1,10,run,,,00-0038134,9,,,0.770929128862917,0.0279830098152161,0,0,0,0
1340,2,2321,6,0,6,521,SEA,NE,SEA,62,2,1,run,,,00-0038134,2,,,-0.057958060875535,0.00752979516983032,0,0,0,0
1362,2,2276,6,0,6,476,SEA,NE,SEA,60,1,10,pass,00-0034869,00-0038134,,0,2,,-0.396217948757112,-0.0150524377822876,0,0,0,0
1385,2,2271,6,0,6,471,SEA,NE,SEA,60,2,10,pass,00-0034869,00-0033908,,7,7,0,0.186696274671704,0.00527018308639526,1,0,0,0
1410,2,2232,6,0,6,432,SEA,NE,SEA,53,3,3,pass,00-0034869,00-0038134,,6,3,3,1.10662799747661,0.0243284106254578,1,0,0,0
1440,2,2189,6,0,6,389,SEA,NE,NE,47,1,10,run,,,00-0038134,4,,,-0.202373573672958,-0.000386953353881836,0,0,0,0
1462,2,2150,6,0,6,350,SEA,NE,NE,43,2,6,run,,,00-0039299,1,,,-0.421245604637079,-0.00968444347381592,0,0,0,0
1484,2,2109,6,0,6,309,SEA,NE,NE,42,3,5,pass,00-0034869,00-0038134,,0,1,,-1.62662374647334,-0.0384873747825623,0,0,0,0
1744,2,1970,6,0,6,170,SEA,NE,SEA,57,1,10,pass,00-0034869,00-0033908,,7,7,0,0.453137677861378,0.0124993324279785,1,0,0,0
1776,2,1931,6,0,6,131,SEA,NE,50,50,2,3,run,,,00-0038134,7,,,0.355079698434565,0.015639066696167,0,0,0,0
1798,2,1920,6,0,6,120,SEA,NE,NE,43,1,10,run,,,00-0038134,1,,,-0.400767758255824,-0.00130212306976318,0,0,0,0
1827,2,1877,6,0,6,77,SEA,NE,NE,42,2,9,pass,00-0034869,00-0039299,,7,2,5,0.368003981478978,0.00819188356399536,1,0,0,0
1852,2,1839,6,0,6,39,SEA,NE,NE,35,3,2,run,,,00-0039299,5,,,0.590850538108498,0.018664538860321,0,0,0,0
1874,2,1832,6,0,6,32,SEA,NE,NE,30,1,10,pass,00-0034869,00-0033908,,7,5,2,0.136580432183109,0.0138960480690002,1,0,0,0
1906,2,1823,6,0,6,23,SEA,NE,NE,23,2,3,pass,00-0034869,00-0033908,,0,5,,-0.260453257826157,-0.000779867172241211,0,0,0,0
1948,2,1820,6,0,6,20,SEA,NE,NE,23,3,3,pass,00-0034869,00-0038543,,0,22,,-0.412749052243345,-0.0159860849380493,0,0,0,0
2219,3,1742,9,0,9,1742,SEA,NE,SEA,91,1,10,run,,,00-0038134,2,,,-0.471117447828874,-0.0136646628379822,0,0,0,0
2246,3,1701,9,0,9,1701,SEA,NE,SEA,89,2,8,pass,00-0034869,00-0037545,,16,14,2,1.70655511226505,0.0300115942955017,1,0,0,0
2271,3,1657,9,0,9,1657,SEA,NE,SEA,73,1,10,pass,00-0034869,00-0038543,,16,10,6,1.09400546504185,0.0354378819465637,1,0,0,0
2296,3,1631,9,0,9,1631,SEA,NE,SEA,57,1,10,run,,,00-0034869,11,,,0.732950153760612,0.0166612863540649,0,0,0,0
2318,3,1590,9,0,9,1590,SEA,NE,NE,46,1,10,run,,,00-0038134,3,,,-0.406252873130143,0.00400012731552124,0,0,0,0
2340,3,1547,9,0,9,1547,SEA,NE,NE,43,2,7,pass,00-0034869,00-0038134,,20,-7,27,1.98095473763533,0.0308365821838379,1,0,0,0
2370,3,1505,9,0,9,1505,SEA,NE,NE,23,1,10,run,,,00-0038134,1,,,-0.563390930532478,-0.00480878353118897,0,0,0,0
2397,3,1463,9,0,9,1463,SEA,NE,NE,22,2,9,pass,00-0034869,00-0033908,,0,4,,-0.586893812287599,-0.0102723836898804,0,0,0,0
2427,3,1460,9,0,9,1460,SEA,NE,NE,22,3,9,pass,00-0034869,00-0033908,,0,9,,-0.798430563513823,-0.00906211137771606,0,0,0,0
2587,3,1354,12,0,12,1354,SEA,NE,SEA,82,1,10,pass,00-0034869,,,-8,,,-1.43378143850714,-0.0149398446083069,0,1,0,0
2619,3,1310,12,0,12,1310,SEA,NE,SEA,90,2,18,pass,00-0034869,00-0038543,,4,0,4,-0.495869941078126,-0.00786787271499634,1,0,0,0
2644,3,1266,12,0,12,1266,SEA,NE,SEA,86,3,14,run,,,00-0038134,6,,,-0.398812961764634,-0.00257366895675659,0,0,0,0
2806,3,1118,12,0,12,1118,SEA,NE,SEA,79,1,10,run,,,00-0038134,-2,,,-0.883352892007679,0.0065731406211853,0,0,0,0
2835,3,1073,12,0,12,1073,SEA,NE,SEA,81,2,12,pass,00-0034869,00-0033908,,0,10,,-0.81491698557511,-0.00713008642196655,0,0,0,0
2858,3,1068,12,0,12,1068,SEA,NE,SEA,81,3,12,pass,00-0034869,00-0033908,,8,5,3,-0.109059321228415,-0.00533968210220337,1,0,0,0
3051,3,910,12,0,12,910,SEA,NE,NE,37,1,10,pass,00-0034869,00-0039793,,11,1,10,0.849924033973366,0.00771421194076538,1,0,0,0
3096,4,900,12,0,12,900,SEA,NE,NE,26,1,10,run,,,00-0038134,1,,,-0.488041987642646,-0.00820243358612061,0,0,0,0
3118,4,860,12,0,12,860,SEA,NE,NE,25,2,9,pass,00-0034869,00-0033908,,0,21,,-0.592482073465362,-0.00717765092849731,0,0,0,0
3141,4,854,12,0,12,854,SEA,NE,NE,25,3,9,pass,00-0034869,00-0033908,,9,7,2,1.67705099529121,0.0217291116714478,1,0,0,0
3166,4,809,12,0,12,809,SEA,NE,NE,16,1,10,pass,00-0034869,00-0039793,,16,16,0,2.35835602006409,0.0266948007047176,1,0,0,0
3344,4,742,19,7,12,742,SEA,NE,SEA,69,1,10,pass,00-0034869,00-0037545,,11,11,0,0.750229220604524,-0.00071251392364502,1,0,0,0
3374,4,701,19,7,12,701,SEA,NE,SEA,58,1,10,run,,,00-0038134,-1,,,-0.759402804542333,-0.00834989547729492,0,0,0,0
3396,4,664,19,7,12,664,SEA,NE,SEA,59,2,11,pass,00-0034869,,,0,-11,,-0.817196202697232,-0.00302213430404663,0,0,0,0
3422,4,660,19,7,12,660,SEA,NE,SEA,59,3,11,pass,00-0034869,00-0037545,,0,45,,-1.1426403732039,-0.0144869685173035,0,0,0,0
3645,4,517,19,7,12,517,SEA,NE,NE,38,1,10,run,,,00-0038134,14,,,0.979375049239025,0.000610709190368652,0,0,0,0
3672,4,479,19,7,12,479,SEA,NE,NE,24,1,10,run,,,00-0038134,10,,,0.622487750311848,0.0125336647033691,0,0,0,0
3694,4,431,19,7,12,431,SEA,NE,NE,14,1,10,run,,,00-0038134,2,,,-0.453703349689022,0.00183844566345215,0,0,0,0
3716,4,388,19,7,12,388,SEA,NE,NE,12,2,8,run,,,00-0038134,1,,,-0.576844147406519,0.00239711999893189,0,0,0,0
3738,4,343,19,7,12,343,SEA,NE,NE,11,3,7,pass,00-0034869,00-0038543,,3,3,0,-0.803944484451496,-0.00389748811721802,1,0,0,0
4280,4,140,29,13,16,140,SEA,NE,NE,46,1,10,run,,,00-0038134,3,,,-0.951840268622618,-0.0000904202461242676,0,0,0,0
4302,4,134,29,13,16,134,SEA,NE,NE,43,2,7,run,,,00-0034869,-6,,,-1.52257629839005,-0.000609815120697022,0,0,0,0
4376,4,121,29,13,16,121,SEA,NE,SEA,59,3,23,run,,,00-0038134,1,,,-0.45703250519,-0.0000492930412292481,0,0,0,0
